2.143861007690429688e+01,1.955171012878417969e+01,1.845859909057617188e+01,1.800247001647949219e+01,1.768497085571289062e+01,2.011405944824218750e+01,1.812372016906738281e+01,1.697039031982421875e+01,1.652979087829589844e+01,1.613014030456542969e+01,1.475749015808105469e-01
2.231427001953125000e+01,2.110486030578613281e+01,2.100484085083007812e+01,2.115926933288574219e+01,2.094669914245605469e+01,1.845513916015625000e+01,1.708151054382324219e+01,1.670265007019042969e+01,1.683172988891601562e+01,1.662739944458007812e+01,1.462007034569978714e-02
2.358587074279785156e+01,2.143353080749511719e+01,2.022435951232910156e+01,1.981657028198242188e+01,1.982048988342285156e+01,2.378438949584960938e+01,2.142931938171386719e+01,2.020912933349609375e+01,1.980677032470703125e+01,1.980477905273437500e+01,-3.595552116166800261e-04
1.940254020690917969e+01,1.731378936767578125e+01,1.643169021606445312e+01,1.617095947265625000e+01,1.600287055969238281e+01,1.941888046264648438e+01,1.731418991088867188e+01,1.645372962951660156e+01,1.616551017761230469e+01,1.599652957916259766e+01,3.984247086918912828e-05
2.111540031433105469e+01,2.021859931945800781e+01,1.965867042541503906e+01,1.951511001586914062e+01,1.945512008666992188e+01,2.110386085510253906e+01,2.017543029785156250e+01,1.965910911560058594e+01,1.952235031127929688e+01,1.947999954223632812e+01,3.174965095240622759e-04
1.907872962951660156e+01,1.772418022155761719e+01,1.721212959289550781e+01,1.701259040832519531e+01,1.688954925537109375e+01,1.911861991882324219e+01,1.773353958129882812e+01,1.721526908874511719e+01,1.700336074829101562e+01,1.691474914550781250e+01,4.850707045989111066e-05
2.283054924011230469e+01,2.208859062194824219e+01,2.056398010253906250e+01,1.952393913269042969e+01,1.896787071228027344e+01,2.140800094604492188e+01,2.084161949157714844e+01,1.929421043395996094e+01,1.828251075744628906e+01,1.779425048828125000e+01,5.001577734947204590e-01
2.090566062927246094e+01,2.022579002380371094e+01,1.999650955200195312e+01,1.985890007019042969e+01,1.971438026428222656e+01,2.091954994201660156e+01,2.022563934326171875e+01,2.000218963623046875e+01,1.985235023498535156e+01,1.973114013671875000e+01,-3.603475051932036877e-04
2.127092933654785156e+01,1.988710021972656250e+01,1.930842971801757812e+01,1.900598907470703125e+01,1.843711090087890625e+01,1.899902915954589844e+01,1.768865966796875000e+01,1.706579017639160156e+01,1.667213058471679688e+01,1.641037940979003906e+01,1.078808978199958801e-01
2.174131965637207031e+01,1.977617073059082031e+01,1.867300033569335938e+01,1.825584983825683594e+01,1.786786079406738281e+01,2.101663970947265625e+01,1.895424079895019531e+01,1.789118957519531250e+01,1.743928909301757812e+01,1.710198974609375000e+01,1.409652978181838989e-01
1.851310920715332031e+01,1.748681068420410156e+01,1.691872978210449219e+01,1.655150032043457031e+01,1.643835067749023438e+01,1.766489982604980469e+01,1.659185028076171875e+01,1.597840023040771484e+01,1.555805969238281250e+01,1.535958003997802734e+01,6.348236650228500366e-02
2.334716987609863281e+01,2.215728950500488281e+01,2.047761917114257812e+01,1.977293968200683594e+01,1.921697998046875000e+01,2.248023986816406250e+01,2.089794921875000000e+01,1.903030014038085938e+01,1.827149963378906250e+01,1.784967994689941406e+01,4.216597080230712891e-01
2.086805915832519531e+01,1.972121047973632812e+01,1.911091995239257812e+01,1.878762054443359375e+01,1.841332054138183594e+01,1.929603958129882812e+01,1.811026954650878906e+01,1.746492004394531250e+01,1.707659912109375000e+01,1.683429908752441406e+01,1.445236951112747192e-01
2.081377983093261719e+01,1.976342010498046875e+01,1.938406944274902344e+01,1.918124008178710938e+01,1.895113945007324219e+01,1.927090072631835938e+01,1.798995018005371094e+01,1.750035095214843750e+01,1.722485923767089844e+01,1.712291908264160156e+01,5.587178096175193787e-02
2.551868057250976562e+01,2.126424980163574219e+01,1.975863075256347656e+01,1.902833938598632812e+01,1.858717918395996094e+01,2.595141029357910156e+01,2.044241905212402344e+01,1.873147964477539062e+01,1.809227943420410156e+01,1.765921020507812500e+01,3.383247852325439453e-01
2.391161918640136719e+01,2.261236953735351562e+01,2.164220046997070312e+01,2.100399971008300781e+01,2.027706909179687500e+01,2.433391952514648438e+01,2.143034934997558594e+01,2.032526969909667969e+01,1.976605033874511719e+01,1.927422904968261719e+01,5.005639195442199707e-01
2.381230926513671875e+01,2.221220016479492188e+01,2.083908081054687500e+01,2.012565994262695312e+01,1.970474052429199219e+01,2.358300971984863281e+01,2.188586044311523438e+01,2.032390975952148438e+01,1.953931999206542969e+01,1.916581916809082031e+01,4.910630881786346436e-01
1.764341926574707031e+01,1.762151908874511719e+01,1.739670944213867188e+01,1.739221000671386719e+01,1.742724990844726562e+01,1.762498092651367188e+01,1.760417938232421875e+01,1.739624977111816406e+01,1.737743949890136719e+01,1.741876029968261719e+01,1.342208027839660645e+00
2.036413002014160156e+01,1.916967010498046875e+01,1.841614913940429688e+01,1.809845924377441406e+01,1.777426910400390625e+01,1.777635002136230469e+01,1.646202087402343750e+01,1.580753040313720703e+01,1.543854045867919922e+01,1.521862983703613281e+01,1.035092025995254517e-01
2.139436912536621094e+01,2.013850975036621094e+01,1.968523979187011719e+01,1.941897964477539062e+01,1.916674041748046875e+01,1.928755950927734375e+01,1.802849006652832031e+01,1.748984909057617188e+01,1.714244079589843750e+01,1.695834922790527344e+01,6.581959128379821777e-02
1.828071975708007812e+01,1.830658912658691406e+01,1.820853996276855469e+01,1.791234016418457031e+01,1.784296989440917969e+01,1.827776908874511719e+01,1.830150985717773438e+01,1.821335983276367188e+01,1.791888999938964844e+01,1.784709930419921875e+01,1.796434998512268066e+00
2.306218910217285156e+01,2.027931976318359375e+01,1.942627906799316406e+01,1.886698913574218750e+01,1.865883064270019531e+01,2.310244941711425781e+01,2.028539085388183594e+01,1.942300033569335938e+01,1.890144920349121094e+01,1.864345932006835938e+01,2.939625024795532227e+00
2.124077033996582031e+01,2.014455986022949219e+01,1.969607925415039062e+01,1.938788032531738281e+01,1.911515998840332031e+01,2.060722923278808594e+01,1.935463905334472656e+01,1.878377914428710938e+01,1.846768951416015625e+01,1.828017997741699219e+01,1.183985993266105652e-01
2.181565093994140625e+01,1.971990966796875000e+01,1.842238044738769531e+01,1.796623992919921875e+01,1.760042953491210938e+01,2.077967071533203125e+01,1.858465003967285156e+01,1.724379920959472656e+01,1.672261047363281250e+01,1.641139984130859375e+01,1.963008046150207520e-01
2.148776054382324219e+01,2.054542922973632812e+01,2.007238006591796875e+01,1.990106964111328125e+01,1.978852081298828125e+01,2.061319923400878906e+01,1.952700042724609375e+01,1.893866920471191406e+01,1.865991020202636719e+01,1.862251091003417969e+01,1.846549063920974731e-01
2.131444931030273438e+01,1.945524978637695312e+01,1.820742034912109375e+01,1.776491928100585938e+01,1.740069961547851562e+01,2.058271980285644531e+01,1.864802932739257812e+01,1.736761093139648438e+01,1.692204093933105469e+01,1.658766937255859375e+01,1.829369068145751953e-01
2.407398033142089844e+01,2.200888061523437500e+01,2.015576934814453125e+01,1.952676010131835938e+01,1.904949951171875000e+01,2.374855041503906250e+01,2.124641990661621094e+01,1.931811904907226562e+01,1.866275978088378906e+01,1.823958015441894531e+01,3.925301134586334229e-01
1.996092033386230469e+01,1.834692001342773438e+01,1.780645942687988281e+01,1.763765907287597656e+01,1.755035972595214844e+01,1.994939994812011719e+01,1.835140037536621094e+01,1.780249023437500000e+01,1.763917922973632812e+01,1.754836082458496094e+01,-4.116156924283131957e-05
2.314259910583496094e+01,2.119956016540527344e+01,1.945359039306640625e+01,1.906011009216308594e+01,1.871595954895019531e+01,2.335713005065917969e+01,2.028232002258300781e+01,1.861354064941406250e+01,1.800299072265625000e+01,1.767871093750000000e+01,3.169224858283996582e-01
2.498159027099609375e+01,2.216918945312500000e+01,2.046359062194824219e+01,1.964071083068847656e+01,1.922101020812988281e+01,2.596295928955078125e+01,2.138722038269042969e+01,1.964953994750976562e+01,1.878359985351562500e+01,1.838282966613769531e+01,4.546825885772705078e-01
1.695969009399414062e+01,1.552083015441894531e+01,1.499730014801025391e+01,1.482026004791259766e+01,1.476076984405517578e+01,1.699275970458984375e+01,1.552303981781005859e+01,1.500316047668457031e+01,1.482227039337158203e+01,1.475942993164062500e+01,3.024949000973720104e-05
2.353597068786621094e+01,2.169922065734863281e+01,1.989359092712402344e+01,1.926400947570800781e+01,1.882585906982421875e+01,2.326634025573730469e+01,2.101844978332519531e+01,1.915732955932617188e+01,1.850591087341308594e+01,1.805690002441406250e+01,3.864755928516387939e-01
2.087062072753906250e+01,1.917531013488769531e+01,1.825749015808105469e+01,1.787001991271972656e+01,1.753553009033203125e+01,1.994911956787109375e+01,1.812324905395507812e+01,1.719477081298828125e+01,1.680542945861816406e+01,1.649006080627441406e+01,1.199695020914077759e-01
2.489995956420898438e+01,2.196693992614746094e+01,2.020050048828125000e+01,1.955796051025390625e+01,1.897695922851562500e+01,2.617600059509277344e+01,2.085228919982910156e+01,1.897260093688964844e+01,1.832782936096191406e+01,1.780236053466796875e+01,4.169274866580963135e-01
2.389489936828613281e+01,2.130127906799316406e+01,1.981543922424316406e+01,1.882810020446777344e+01,1.829450988769531250e+01,2.395856094360351562e+01,2.131114006042480469e+01,1.983359909057617188e+01,1.883423042297363281e+01,1.828944015502929688e+01,-3.536437870934605598e-04
2.161510086059570312e+01,1.967683982849121094e+01,1.864333915710449219e+01,1.820505905151367188e+01,1.778848075866699219e+01,2.078236007690429688e+01,1.877700042724609375e+01,1.765888977050781250e+01,1.719791984558105469e+01,1.682925987243652344e+01,1.440591961145401001e-01
2.135799026489257812e+01,1.955694961547851562e+01,1.853432083129882812e+01,1.803334999084472656e+01,1.764389038085937500e+01,2.030904960632324219e+01,1.828277969360351562e+01,1.722878074645996094e+01,1.677265930175781250e+01,1.637557029724121094e+01,1.155510991811752319e-01
2.362813949584960938e+01,2.259528923034667969e+01,2.136237907409667969e+01,2.046492004394531250e+01,1.992329978942871094e+01,2.236927986145019531e+01,2.153138923645019531e+01,2.019165992736816406e+01,1.932228088378906250e+01,1.886890983581542969e+01,4.512057900428771973e-01
2.222245979309082031e+01,2.085943031311035156e+01,1.930418968200683594e+01,1.872921943664550781e+01,1.847318077087402344e+01,2.155076980590820312e+01,1.999695968627929688e+01,1.836219024658203125e+01,1.775134086608886719e+01,1.746834945678710938e+01,2.784042060375213623e-01
2.484804916381835938e+01,2.308233070373535156e+01,2.207585906982421875e+01,2.112199020385742188e+01,2.060485076904296875e+01,2.431845092773437500e+01,2.261454010009765625e+01,2.140029907226562500e+01,2.047537040710449219e+01,2.023558998107910156e+01,4.557920098304748535e-01
1.825275039672851562e+01,1.641156005859375000e+01,1.578370952606201172e+01,1.549707031250000000e+01,1.505541038513183594e+01,1.545061969757080078e+01,1.360428047180175781e+01,1.278376007080078125e+01,1.238092041015625000e+01,1.209552001953125000e+01,1.822762005031108856e-02
1.847900009155273438e+01,1.699047088623046875e+01,1.646112060546875000e+01,1.626551055908203125e+01,1.622252082824707031e+01,1.847223091125488281e+01,1.698645019531250000e+01,1.646191024780273438e+01,1.627625083923339844e+01,1.621380996704101562e+01,1.122774992836639285e-04
2.314446067810058594e+01,2.209671974182128906e+01,2.207970046997070312e+01,2.188507080078125000e+01,2.170244979858398438e+01,2.321935081481933594e+01,2.211215972900390625e+01,2.213072967529296875e+01,2.192576026916503906e+01,2.174521064758300781e+01,2.231326103210449219e+00
